Event Count,location,Event duration,Latitude,Longitude,Cluster
0,"{'latitude': 21.0928232, 'longitude': 83.5287327}",1263.998,21.0928232,83.5287327,1
1,"{'latitude': 21.1912364, 'longitude': 83.5869311}",343.5,21.1912364,83.5869311,1
2,"{'latitude': 20.1986492, 'longitude': 83.2312064}",1358.165,20.1986492,83.2312064,1
3,"{'latitude': 19.891533333333335, 'longitude': 82.06593166666667}",2423.445,19.891533333333335,82.06593166666667,2
4,"{'latitude': 21.1667245, 'longitude': 83.5788649}",496.0,21.1667245,83.5788649,1
5,"{'latitude': 21.7103171, 'longitude': 86.6240053}",1547.0,21.7103171,86.6240053,0
6,"{'latitude': 20.6352218, 'longitude': 84.4216154}",812.452,20.6352218,84.4216154,1
7,"{'latitude': 22.3929965, 'longitude': 84.9511595}",355.83,22.3929965,84.9511595,0
8,"{'latitude': 19.891533333333335, 'longitude': 82.06593166666667}",1960.107,19.891533333333335,82.06593166666667,2
9,"{'latitude': 19.9067201, 'longitude': 83.1616117}",761.868,19.9067201,83.1616117,2
10,"{'latitude': 20.8387372, 'longitude': 84.322003}",331.828,20.8387372,84.322003,1
11,"{'latitude': 21.7661521, 'longitude': 85.9731422}",393.2,21.7661521,85.9731422,0
12,"{'latitude': 20.600849, 'longitude': 84.7848382}",961.272,20.600849,84.7848382,1
13,"{'latitude': 20.1621558, 'longitude': 84.4165334}",306.412,20.1621558,84.4165334,1
14,"{'latitude': 20.3554272, 'longitude': 83.4416472}",770.0,20.3554272,83.4416472,1
15,"{'latitude': 22.0866551, 'longitude': 86.1139743}",2032.834,22.0866551,86.1139743,0
16,"{'latitude': 19.9066723, 'longitude': 83.1615256}",1273.0,19.9066723,83.1615256,2
17,"{'latitude': 21.784626666666668, 'longitude': 84.58424666666667}",1116.75,21.784626666666668,84.58424666666667,1
18,"{'latitude': 20.8513879, 'longitude': 83.5097068}",1001.8,20.8513879,83.5097068,1
19,"{'latitude': 22.1148422, 'longitude': 84.0483031}",927.866,22.1148422,84.0483031,1
20,"{'latitude': 21.1967786, 'longitude': 83.5890014}",1391.0,21.1967786,83.5890014,1
21,"{'latitude': 21.203546, 'longitude': 85.5953121}",993.75,21.203546,85.5953121,0
22,"{'latitude': 19.346466666666668, 'longitude': 83.124055}",1208.75,19.346466666666668,83.124055,2
23,"{'latitude': 21.784615, 'longitude': 84.58432666666667}",357.5,21.784615,84.58432666666667,1
24,"{'latitude': 20.8386288, 'longitude': 84.3220207}",1126.548,20.8386288,84.3220207,1
25,"{'latitude': 22.3929965, 'longitude': 84.9511595}",729.0,22.3929965,84.9511595,0
26,"{'latitude': 21.1932192, 'longitude': 83.5878988}",643.5,21.1932192,83.5878988,1
27,"{'latitude': 20.1932977, 'longitude': 83.5152324}",309.913,20.1932977,83.5152324,1
28,"{'latitude': 18.8037004, 'longitude': 82.7172388}",1135.748,18.8037004,82.7172388,2
29,"{'latitude': 19.388086666666666, 'longitude': 82.26740333333333}",21786.8,19.388086666666666,82.26740333333333,2
30,"{'latitude': 18.2916265, 'longitude': 82.1204716}",390.0,18.2916265,82.1204716,2
31,"{'latitude': 20.1934262, 'longitude': 83.5150606}",329.336,20.1934262,83.5150606,1
32,"{'latitude': 19.5578387, 'longitude': 82.8627577}",2119.041,19.5578387,82.8627577,2
33,"{'latitude': 19.891256666666667, 'longitude': 82.06587666666667}",393.111,19.891256666666667,82.06587666666667,2
34,"{'latitude': 21.784686666666666, 'longitude': 84.58436}",1652.6,21.784686666666666,84.58436,1
35,"{'latitude': 19.39098, 'longitude': 82.27014166666666}",947.334,19.39098,82.27014166666666,2
36,"{'latitude': 22.3929901, 'longitude': 84.9511616}",968.336,22.3929901,84.9511616,0
37,"{'latitude': 19.13866, 'longitude': 82.31579333333333}",302.667,19.13866,82.31579333333333,2
38,"{'latitude': 20.2484255, 'longitude': 86.1680496}",886.834,20.2484255,86.1680496,0
39,"{'latitude': 19.346535, 'longitude': 83.12406333333334}",1693.33,19.346535,83.12406333333334,2
40,"{'latitude': 20.0819567, 'longitude': 82.4483129}",355.25,20.0819567,82.4483129,2
41,"{'latitude': 20.9426602, 'longitude': 83.5226449}",649.0,20.9426602,83.5226449,1
42,"{'latitude': 19.6241868, 'longitude': 83.4923814}",1001.332,19.6241868,83.4923814,2
43,"{'latitude': 19.5438179, 'longitude': 82.9308414}",444.476,19.5438179,82.9308414,2
44,"{'latitude': 21.3398064, 'longitude': 83.623116}",585.495,21.3398064,83.623116,1
45,"{'latitude': 21.2467402, 'longitude': 83.7064406}",317.0,21.2467402,83.7064406,1
46,"{'latitude': 19.9269266, 'longitude': 84.5822828}",326.104,19.9269266,84.5822828,1
47,"{'latitude': 18.1731, 'longitude': 81.54117666666667}",587.667,18.1731,81.54117666666667,2
48,"{'latitude': 20.0620859, 'longitude': 83.3848692}",770.0,20.0620859,83.3848692,2
49,"{'latitude': 19.388036666666668, 'longitude': 82.267505}",808.75,19.388036666666668,82.267505,2
50,"{'latitude': 20.2194667, 'longitude': 86.4427165}",597.664,20.2194667,86.4427165,0
51,"{'latitude': 21.1121543, 'longitude': 83.5600125}",309.166,21.1121543,83.5600125,1
52,"{'latitude': 19.891436666666667, 'longitude': 82.06591166666666}",896.223,19.891436666666667,82.06591166666666,2
53,"{'latitude': 20.0980656, 'longitude': 82.6304527}",2478.501,20.0980656,82.6304527,2
54,"{'latitude': 19.295236666666668, 'longitude': 82.72285166666667}",974.889,19.295236666666668,82.72285166666667,2
55,"{'latitude': 19.719096666666665, 'longitude': 82.37015333333333}",672.444,19.719096666666665,82.37015333333333,2
56,"{'latitude': 21.8802406, 'longitude': 84.0264487}",381.743,21.8802406,84.0264487,1
57,"{'latitude': 20.8431758, 'longitude': 83.9091724}",1425.86,20.8431758,83.9091724,1
58,"{'latitude': 19.295201666666667, 'longitude': 82.72284666666667}",2388.111,19.295201666666667,82.72284666666667,2
59,"{'latitude': 19.13878, 'longitude': 82.31582166666666}",330.333,19.13878,82.31582166666666,2
60,"{'latitude': 20.8473127, 'longitude': 83.8962029}",320.656,20.8473127,83.8962029,1
61,"{'latitude': 20.9795723, 'longitude': 83.4893718}",2541.169,20.9795723,83.4893718,1
62,"{'latitude': 22.2134937, 'longitude': 86.2870009}",382.256,22.2134937,86.2870009,0
63,"{'latitude': 20.4070143, 'longitude': 86.3459746}",794.745,20.4070143,86.3459746,0
64,"{'latitude': 19.5337977, 'longitude': 83.4962794}",855.0,19.5337977,83.4962794,2
65,"{'latitude': 20.6730636, 'longitude': 86.1111842}",370.0,20.6730636,86.1111842,0
66,"{'latitude': 21.2086778, 'longitude': 83.591662}",855.833,21.2086778,83.591662,1
67,"{'latitude': 22.1352065, 'longitude': 84.4204778}",356.0,22.1352065,84.4204778,1
68,"{'latitude': 18.610785, 'longitude': 82.59544166666667}",534.666,18.610785,82.59544166666667,2
69,"{'latitude': 18.3636671, 'longitude': 81.8984157}",329.444,18.3636671,81.8984157,2
70,"{'latitude': 19.05965, 'longitude': 82.53361666666666}",308.556,19.05965,82.53361666666666,2
71,"{'latitude': 19.71909, 'longitude': 82.37029333333334}",524.778,19.71909,82.37029333333334,2
72,"{'latitude': 19.5337977, 'longitude': 83.4962794}",552.572,19.5337977,83.4962794,2
73,"{'latitude': 20.6280273, 'longitude': 83.6859811}",383.336,20.6280273,83.6859811,1
74,"{'latitude': 21.5311414, 'longitude': 84.3744885}",389.336,21.5311414,84.3744885,1
75,"{'latitude': 21.5742995, 'longitude': 84.164804}",358.253,21.5742995,84.164804,1
76,"{'latitude': 19.822093, 'longitude': 83.4308149}",1264.586,19.822093,83.4308149,2
77,"{'latitude': 18.109076666666667, 'longitude': 81.65951333333334}",342.0,18.109076666666667,81.65951333333334,2
78,"{'latitude': 20.6534847, 'longitude': 85.6008267}",330.996,20.6534847,85.6008267,0
79,"{'latitude': 19.2389678, 'longitude': 83.8231303}",621.111,19.2389678,83.8231303,2
80,"{'latitude': 20.2450888, 'longitude': 82.5735411}",460.59,20.2450888,82.5735411,2
81,"{'latitude': 20.7099256, 'longitude': 83.5084062}",595.0,20.7099256,83.5084062,1
82,"{'latitude': 18.3636832, 'longitude': 81.8982343}",927.777,18.3636832,81.8982343,2
83,"{'latitude': 20.3205718, 'longitude': 86.5211017}",307.161,20.3205718,86.5211017,0
